code,count,cumsum,cumperc,low_use
C,30302,2132009,0.782059441402096,TRUE
B,27957,2159966,0.7923145743791512,TRUE
Second Home Class B,15488,2216965,0.8132228379467431,TRUE
Second Home - Class B,14816,2231781,0.8186576145747093,TRUE
Empty Unoccupied & Unfurnished,13941,2245722,0.8237714253853515,TRUE
PCLC,13382,2259104,0.8286801848909835,TRUE
second home - class B,13239,2272343,0.8335364894116128,TRUE
Long Term Empty Premium,11015,2283358,0.837576990529124,TRUE
Long Term Empty Class C,10733,2294091,0.8415140489489378,TRUE
Long Term Empty,9609,2313505,0.8486354550946813,TRUE
Empty Class B,9240,2332335,0.8555426394834909,TRUE
PCLB0,8902,2350396,0.8621677407711323,TRUE
SH,8551,2358947,0.8653044021470596,TRUE
PCLC0,6663,2365610,0.8677485109937212,TRUE
PCLB00,6530,2372140,0.8701438330361495,TRUE
Empty & Unfurnished Prop eff Apr 13,6492,2378632,0.8725252159916541,TRUE
0% Disc Empty and Unfurn,6462,2385094,0.8748955944048505,TRUE
Second Home Premium,5695,2397238,0.8793502331312288,TRUE
Empty Unoccupied and Unfurnished,5439,2402677,0.881345356651714,TRUE
Empty/Unfurnished < 3 Months,5170,2413066,0.8851562296530598,TRUE
Long Term Empty Home,5118,2423343,0.8889260190297882,TRUE
PCLC00,4813,2428156,0.8906915144341079,TRUE
Long term empty home,4563,2432719,0.8923653053191922,TRUE
PCLB-2H,4505,2437224,0.8940178207558139,TRUE
EMPTY UNFURNISHED PROPERTIES LONG TERM,4359,2441583,0.8956167807532023,TRUE
Second home class B,4233,2445816,0.8971695216728959,TRUE
Empty And Unfurnished LONG TERM,4213,2450029,0.8987149262310506,TRUE
PCLB0%,4029,2454058,0.9001928362630481,TRUE
BV,4005,2458063,0.9016619426611991,TRUE
Empty Unfurnished Property (0%),3824,2461887,0.9030646549874236,TRUE
C1,3795,2465682,0.9044567295894168,TRUE
Discount Class B (Furnished & Unocc),3763,2469445,0.9058370660129479,TRUE
EMPTY UNFURNISHED <28 days,3638,2473083,0.9071715501768614,TRUE
empty unoccupied unfurnished,3497,2476580,0.9084543129919259,TRUE
